Code|Subcode|Description
B62H|10|Опорные устройства и стойки для стоянки и хранения велосипедов, мотоциклов и т.п.; средства, предотвращающие пользование велосипедами, мотоциклами и т.п. посторонними лицами или сигнализирующие об этом; встроенные замки; устройства для обучения езде на ве
B62J|10|Седла или сиденья велосипедов, мотоциклов и т.п.; прочие вспомогательные устройства для велосипедов, мотоциклов и т.п.
B62K|10|Велосипеды, мотоциклы и т.п., их конструктивные элементы; прицепные коляски
B62L|10|Тормоза для велосипедов, мотоциклов и т.п.
B62M|10|Устройства для приведения в действие колесных транспортных средств или саней мускульной силой человека; трансмиссии для них
B63||Суда и прочие плавучие средства; оборудование для них
B63B|10|Суда и прочие плавучие средства; оборудование для судов
B63C|10|Оснащение стапелей и доков; постановка и вывод судов из доков и слипов; спасательные средства на воде; водолазное оборудование; устройства для спасения и обнаружения объектов, находящихся под водой
B63G|10|Судовые средства нападения или защиты; постановка минных заграждений; траление мин; подводные лодки; авианосцы
B63H|10|Судовые движители и управление судами
B63J|10|Вспомогательное судовое оборудование
B64||Воздухоплавание; авиация; космонавтика
B64B|10|Летательные аппараты легче воздуха
B64C|10|Летательные аппараты тяжелее воздуха
B64D|10|Оборудование летательных аппаратов; летные костюмы; парашюты; монтаж и размещение силовых установок и систем передачи энергии от двигателя
B64F|10|Самолетное оборудование на аэродромах или палубах авианосцев
B64G|10|Космонавтика; космические корабли и их оборудование
B65||Транспортировка, упаковка и хранение грузов или материалов, в том числе тонких и нитевидных
B65B|11|Способы и устройства для упаковки и распаковки изделий или материалов
B65C|11|Способы и устройства для этикетирования или прикрепления ярлыков
B65D|11|Тара для хранения или транспортировки изделий и материалов, например мешки, бочки, бутылки, ящики, жестяные банки, коробки, корзины, стеклянные сосуды, баки и бункера, контейнеры; принадлежности, затворы, арматура к ним; упаковочные элементы ; упаковки
B65F|11|Сбор и удаление домашних отбросов и прочего мусора
B65G|11|Устройства для хранения или транспортировки, например конвейеры, конвейерные системы для магазинов, цехов и т.п.; пневматические трубчатые конвейеры
B65H|11|Способы и устройства для манипулирования тонкими гибкими изделиями или материалами, например листами, лентами, канатами, нитями, рулонными материалами и т.п.
B66||Подъемные устройства
B66B|11|Подъемники; эскалаторы или движущиеся дорожки
B66C|11|Подъемные краны; грузоподъемные элементы, используемые в кранах, кабестанах, лебедках и т.п.
B66D|11|Кабестаны, лебедки, тали, полиспасты и т.п.
B66F|11|Способы и устройства для подъема, перемещения или толкания грузов
B67||Открывание или закрывание бутылок, стеклянных банок или подобных сосудов; операции, выполняемые с жидкостью
B67B|11|Способы и устройства для крепления затворных элементов к бутылкам, стеклянным банкам и подобным сосудам; открывание закрытых сосудов
B67C|11|Способы и устройства для наполнения жидкими или полужидкими продуктами или опорожнения бутылок, банок, кувшинов, бочек или подобных сосудов
B67D|11|Устройства для разлива, отпуска или переливания жидкостей
B68||Шорно-седельное производство; обивка мебели
B68B|11|Упряжь и ее принадлежности; кнуты и т.п.
B68C|11|Седла; стремена
B68F|11|Производство изделий из кожи, парусины и т.п. материалов
B68G|11|Способы и устройства, используемые при обивке мебели; работы по обивке мебели
B81||Микроструктурные технологии
B81B|06|Микроструктурные устройства или системы, например микромеханические устройства
